Draw,Date,Winning Number 1,2,3,4,5,6,Extra Number,From Last,Low,High,Odd,Even,1-10,11-20,21-30,31-40,41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Turnover
23/137,2023-12-05,9,16,23,38,39,41,19,38,3,3,4,2,1,1,1,2,1,0,0.00,2,1190450.00,84.5,75130.00,262,9600.00,4460.6,640.00,7274.4,320.00,82693.8,40.00,52681562
23/136,2023-12-02,3,17,30,36,38,45,8,36,2,4,3,3,1,1,1,2,1,0,0.00,1.5,1353520.00,36,150390.00,188.5,9600.00,2736.7,640.00,5709.7,320.00,54763.4,40.00,41578848
23/135,2023-11-30,7,12,32,34,36,39,5,,2,4,2,4,1,1,0,4,0,0,0.00,0,0.00,46,96860.00,119,9600.00,3097.1,640.00,3683,320.00,54685.4,40.00,34688840
23/134,2023-11-28,3,14,20,30,38,42,13,,3,3,1,5,1,2,1,1,1,1,14213450.00,2,1035570.00,74.5,74130.00,177,9600.00,3214.4,640.00,5409.6,320.00,64678.4,40.00,43051665
23/133,2023-11-25,2,8,12,28,34,47,7,28,3,3,1,5,2,1,1,1,1,0,0.00,2,542310.00,71,40730.00,236.5,9600.00,4081,640.00,6927.7,320.00,67715.2,40.00,32877360
23/132,2023-11-23,11,16,24,27,28,32,48,11,3,3,2,4,0,2,3,1,0,1,13171710.00,2,861950.00,129.5,35490.00,198,9600.00,4523.4,640.00,5060,320.00,76820.1,40.00,40957615
23/131,2023-11-21,9,11,15,17,19,44,7,,5,1,5,1,1,4,0,0,1,0,0.00,7,162990.00,86,35370.00,422,9600.00,4006.9,640.00,8626.5,320.00,68936.3,40.00,37949038
23/130,2023-11-18,6,25,29,30,34,35,20,,1,5,3,3,1,0,3,2,0,1,8000000.00,0,0.00,53.5,77100.00,133,9600.00,3011.5,640.00,4013.8,320.00,51888.8,40.00,33141120
23/129,2023-11-16,3,5,8,16,26,33,24,,4,2,3,3,3,1,1,1,0,2,16459630.00,2.5,748620.00,162.7,30670.00,469.1,9600.00,8345.6,640.00,10059.6,320.00,135122.5,40.00,59591983
23/128,2023-11-14,2,15,27,36,37,48,23,37,2,4,3,3,1,1,1,2,1,0,0.00,3,883970.00,51,138660.00,158,9600.00,3392.4,640.00,5029.5,320.00,68082.2,40.00,50830906
23/127,2023-11-12,19,26,32,34,37,44,11,,1,5,2,4,0,1,1,3,1,0,0.00,1,2407820.00,68.5,93730.00,165,9600.00,3578,640.00,5322.2,320.00,65068.2,40.00,47813946
23/126,2023-11-09,1,4,18,25,30,49,15,49,3,3,3,3,2,1,2,0,1,0.5,4995627.50,0,0.00,95.5,59580.00,188.7,9600.00,4880.7,640.00,5706.6,320.00,88588.6,40.00,48034783
23/125,2023-11-07,7,16,26,31,47,49,44,16,2,4,4,2,1,1,1,1,2,0.5,5460530.00,0,0.00,73,97140.00,140,9600.00,3612.5,640.00,4459.5,320.00,76452.9,40.00,51154758
23/124,2023-11-04,2,13,16,28,40,44,46,,3,3,1,5,1,2,1,1,1,0,0.00,2,977340.00,48,108590.00,133,9600.00,2979.1,640.00,4198,320.00,56508.3,40.00,39087404
23/123,2023-11-02,3,14,32,37,43,47,26,,2,4,4,2,1,1,0,2,2,0,0.00,3,592520.00,55.5,85400.00,135,9600.00,2283.5,640.00,3374.4,320.00,44130,40.00,34490561
