,RaceDate,RaceNo,Venue,Class,Going,Course,Place,HorseName,Jockey,Trainer,ActWeight,HorseWeight,Draw,FinishTime,WinOdd,Dividend,RaceMonth
66,2024/11/09,5,Sha Tin:,Class 4 - 1650M - (60-40),GOOD,ALL WEATHER TRACK,12,HIGHLAND RAHY,L Hewitson,K W Lui,130,1182,9,1:40.76,9.5,0,11
67,2024/11/09,5,Sha Tin:,Class 4 - 1650M - (60-40),GOOD,ALL WEATHER TRACK,13,ONLY U,C L Chau,T P Yung,126,1096,13,1:41.06,43,0,11
68,2024/11/09,5,Sha Tin:,Class 4 - 1650M - (60-40),GOOD,ALL WEATHER TRACK,14,TRUE GENIUS,H Bentley,D J Whyte,135,1063,1,1:43.21,110,0,11
69,2024/11/09,6,Sha Tin:,Class 2 - 1000M - (100-80),GOOD,"TURF - ""A+3"" Course", 1,MAGIC CONTROL,M Chadwick,W K Mo,127,1083,5,0:56.36,4,10.50,11
70,2024/11/09,6,Sha Tin:,Class 2 - 1000M - (100-80),GOOD,"TURF - ""A+3"" Course",2,WUNDERBAR,Z Purton,J Size,132,1211,2,0:56.39,1.4,10.50,11
71,2024/11/09,6,Sha Tin:,Class 2 - 1000M - (100-80),GOOD,"TURF - ""A+3"" Course",3,I GIVE,A Atzeni,P C Ng,117,1169,8,0:56.76,30,53.00,11
72,2024/11/09,6,Sha Tin:,Class 2 - 1000M - (100-80),GOOD,"TURF - ""A+3"" Course",4,BUNDLE OF CHARM,A Badel,J Size,131,1191,7,0:56.91,44,0,11
73,2024/11/09,6,Sha Tin:,Class 2 - 1000M - (100-80),GOOD,"TURF - ""A+3"" Course",5,DANCING CODE,M L Yeung,C Fownes,119,1036,9,0:57.07,22,0,11
74,2024/11/09,6,Sha Tin:,Class 2 - 1000M - (100-80),GOOD,"TURF - ""A+3"" Course",6,WONDER KIT,L Hewitson,K W Lui,122,1106,3,0:57.18,70,0,11
75,2024/11/09,6,Sha Tin:,Class 2 - 1000M - (100-80),GOOD,"TURF - ""A+3"" Course",7,TOMODACHI KOKOROE,K Teetan,D A Hayes,131,1220,6,0:57.21,13,0,11
76,2024/11/09,6,Sha Tin:,Class 2 - 1000M - (100-80),GOOD,"TURF - ""A+3"" Course",8,PACKING TREADMILL,C Y Ho,K W Lui,133,1167,4,0:57.46,46,0,11
77,2024/11/09,6,Sha Tin:,Class 2 - 1000M - (100-80),GOOD,"TURF - ""A+3"" Course",9,WHIZZ KID,H Bowman,A S Cruz,135,1164,1,0:58.12,16,0,11
78,2024/11/09,7,Sha Tin:,Class 2 - 1400M - (105-80),GOOD TO FIRM,"TURF - ""A+3"" Course",1,GREEN N WHITE,M F Poon,P F Yiu,113,1199,2,1:20.34,6.8,23.50,11
79,2024/11/09,7,Sha Tin:,Class 2 - 1400M - (105-80),GOOD TO FIRM,"TURF - ""A+3"" Course", 2,PACKING HERMOD,L Hewitson,K W Lui,115,1119,9,1:20.50,4.6,18.00,11
80,2024/11/09,7,Sha Tin:,Class 2 - 1400M - (105-80),GOOD TO FIRM,"TURF - ""A+3"" Course",3,DROMBEG BANNER,A Atzeni,P C Ng,125,1110,3,1:20.53,18,48.50,11
81,2024/11/09,7,Sha Tin:,Class 2 - 1400M - (105-80),GOOD TO FIRM,"TURF - ""A+3"" Course",4,SUNLIGHT POWER,A Hamelin,P F Yiu,116,1111,12,1:20.55,5.9,0,11
82,2024/11/09,7,Sha Tin:,Class 2 - 1400M - (105-80),GOOD TO FIRM,"TURF - ""A+3"" Course",5,YOUNG CHAMPION,K Teetan,J Size,118,1149,14,1:20.73,10,0,11
83,2024/11/09,7,Sha Tin:,Class 2 - 1400M - (105-80),GOOD TO FIRM,"TURF - ""A+3"" Course",6,BOTTOMUPTOGETHER,M Chadwick,F C Lor,115,1038,10,1:20.74,3.6,0,11
84,2024/11/09,7,Sha Tin:,Class 2 - 1400M - (105-80),GOOD TO FIRM,"TURF - ""A+3"" Course",7,RUBYLOT,A Badel,D A Hayes,115,1121,6,1:20.80,7.6,0,11
85,2024/11/09,7,Sha Tin:,Class 2 - 1400M - (105-80),GOOD TO FIRM,"TURF - ""A+3"" Course",8,CHIU CHOW SPIRIT,K C Leung,K L Man,123,1194,11,1:20.83,62,0,11
86,2024/11/09,7,Sha Tin:,Class 2 - 1400M - (105-80),GOOD TO FIRM,"TURF - ""A+3"" Course",9,ATULLIBIGEAL,Z Purton,D J Hall,123,1070,8,1:20.93,24,0,11
87,2024/11/09,7,Sha Tin:,Class 2 - 1400M - (105-80),GOOD TO FIRM,"TURF - ""A+3"" Course",10,SUPERB BOY,B Thompson,K W Lui,115,1119,7,1:20.99,99,0,11
88,2024/11/09,7,Sha Tin:,Class 2 - 1400M - (105-80),GOOD TO FIRM,"TURF - ""A+3"" Course",11,THE GOLDEN SCENERY,B Avdulla,A S Cruz,133,1075,5,1:21.05,61,0,11
89,2024/11/09,7,Sha Tin:,Class 2 - 1400M - (105-80),GOOD TO FIRM,"TURF - ""A+3"" Course",12,SIX PACK,H Bentley,D J Whyte,115,1269,4,1:21.09,49,0,11
