RaceDate,HorseName,RestDays
2024-12-26,WAH MAY WAI WAI,50.0
2022-10-16,WAIKUKU,999.0
2022-11-20,WAIKUKU,35.0
2022-12-11,WAIKUKU,21.0
2023-01-29,WAIKUKU,49.0
2023-03-19,WAIKUKU,49.0
2023-04-09,WAIKUKU,21.0
2023-04-19,WAKA WAKA,999.0
2023-03-19,WAR OF COURAGE,999.0
2023-04-15,WAR OF COURAGE,27.0
2023-05-21,WAR OF COURAGE,36.0
2023-10-22,WAR OF COURAGE,154.0
2023-11-11,WAR OF COURAGE,20.0
2023-12-17,WAR OF COURAGE,36.0
2024-01-01,WAR OF COURAGE,15.0
2024-01-28,WAR OF COURAGE,27.0
2024-02-25,WAR OF COURAGE,28.0
2024-03-31,WAR OF COURAGE,35.0
2024-04-20,WAR OF COURAGE,20.0
2024-05-19,WAR OF COURAGE,29.0
2024-07-01,WAR OF COURAGE,43.0
2022-10-09,WAR WEAPON,999.0
2022-11-06,WAR WEAPON,28.0
2022-11-20,WAR WEAPON,14.0
2022-12-18,WAR WEAPON,28.0
2023-01-15,WAR WEAPON,28.0
2023-02-26,WAR WEAPON,42.0
2023-03-19,WAR WEAPON,21.0
2023-04-15,WAR WEAPON,27.0
2023-05-13,WAR WEAPON,28.0
2023-06-14,WAR WEAPON,32.0
2023-07-09,WAR WEAPON,25.0
2023-12-10,WARM HEART,999.0
2023-03-11,WATCH BUDDY,999.0
2023-04-02,WATCH BUDDY,22.0
2023-05-07,WATCH BUDDY,35.0
2023-05-28,WATCH BUDDY,21.0
2023-07-06,WATCH BUDDY,39.0
2023-10-04,WATCH BUDDY,90.0
2023-11-29,WATCH BUDDY,56.0
2023-12-29,WATCH BUDDY,30.0
2024-01-17,WATCH BUDDY,19.0
2024-02-07,WATCH BUDDY,21.0
2024-03-06,WATCH BUDDY,28.0
2024-03-13,WATCH BUDDY,7.0
2024-06-05,WATCH BUDDY,84.0
2024-07-04,WATCH BUDDY,29.0
2024-09-22,WATCH BUDDY,80.0
2022-09-11,WAYFOONG LEGEND,999.0
2022-12-04,WAYFOONG LEGEND,84.0
2022-09-11,WE ARE HERO,999.0
2022-10-01,WE ARE HERO,20.0
2022-10-16,WE ARE HERO,15.0
2022-11-27,WE ARE HERO,42.0
2023-01-01,WE ARE HERO,35.0
2023-01-15,WE ARE HERO,14.0
2023-02-05,WE ARE HERO,21.0
2023-04-09,WE ARE HERO,63.0
2023-05-28,WE ARE HERO,49.0
2023-06-25,WE ARE HERO,28.0
2023-09-17,WE ARE HERO,84.0
2023-10-01,WE ARE HERO,14.0
2023-10-29,WE ARE HERO,28.0
2023-11-19,WE ARE HERO,21.0
2023-12-17,WE ARE HERO,28.0
2024-01-07,WE ARE HERO,21.0
2024-02-12,WE ARE HERO,36.0
2024-03-03,WE ARE HERO,20.0
2024-04-14,WE ARE HERO,42.0
2024-05-05,WE ARE HERO,21.0
2024-05-22,WE ARE HERO,17.0
2024-06-08,WE ARE HERO,17.0
2024-07-01,WE ARE HERO,23.0
2022-09-18,WE THE SOUTH,999.0
2022-10-09,WE THE SOUTH,21.0
2022-11-09,WE THE SOUTH,31.0
2022-12-04,WE THE SOUTH,25.0
2023-01-11,WE THE SOUTH,38.0
2023-03-08,WE THE SOUTH,56.0
2022-10-23,WELLINGTON,999.0
2022-11-20,WELLINGTON,28.0
2022-12-11,WELLINGTON,21.0
2023-02-05,WELLINGTON,56.0
2023-03-19,WELLINGTON,42.0
2023-04-09,WELLINGTON,21.0
2023-04-30,WELLINGTON,21.0
2023-11-19,WELLINGTON,203.0
2023-12-10,WELLINGTON,21.0
2024-01-28,WELLINGTON,49.0
2023-12-10,WEST WIND BLOWS,999.0
2022-09-18,WHIZZ KID,999.0
2022-11-09,WHIZZ KID,52.0
2022-12-18,WHIZZ KID,39.0
2023-01-11,WHIZZ KID,24.0
2023-02-19,WHIZZ KID,39.0
2023-03-08,WHIZZ KID,17.0
2023-04-09,WHIZZ KID,32.0
2023-05-17,WHIZZ KID,38.0
2023-05-28,WHIZZ KID,11.0
2023-07-06,WHIZZ KID,39.0
2023-09-17,WHIZZ KID,73.0
2023-10-01,WHIZZ KID,14.0
2023-10-29,WHIZZ KID,28.0
2023-12-17,WHIZZ KID,49.0
2024-01-07,WHIZZ KID,21.0
2024-01-28,WHIZZ KID,21.0
2024-03-03,WHIZZ KID,35.0
2024-04-07,WHIZZ KID,35.0
2024-04-24,WHIZZ KID,17.0
2024-06-08,WHIZZ KID,45.0
2024-07-04,WHIZZ KID,26.0
2024-10-01,WHIZZ KID,89.0
2024-11-09,WHIZZ KID,39.0
2024-12-01,WHIZZ KID,22.0
2025-01-01,WHIZZ KID,31.0
2022-09-11,WIDE BLUE YONDER,999.0
2022-10-09,WIDE BLUE YONDER,28.0
2022-10-23,WIDE BLUE YONDER,14.0
2022-11-06,WIDE BLUE YONDER,14.0
2022-12-11,WIDE BLUE YONDER,35.0
2023-01-04,WIDE BLUE YONDER,24.0
2023-01-29,WIDE BLUE YONDER,25.0
2023-02-12,WIDE BLUE YONDER,14.0
2023-03-11,WIDE BLUE YONDER,27.0
2023-04-02,WIDE BLUE YONDER,22.0
2023-04-15,WIDE BLUE YONDER,13.0
2023-04-30,WIDE BLUE YONDER,15.0
2023-05-21,WIDE BLUE YONDER,21.0
